repository,query,duration (ms)
UserRepository,findAllSortedByUsernameAsc,161
UserRepository,findAllSortedByEmailDesc,137
FunctionRepository,findByOwnerIdOrderByCreatedAtDesc,138
FunctionRepository,findByOwnerIdOrderByNameAsc,204
FunctionRepository,findByNameAndTypeAndOwnerIdSortedByNameAsc,130
PointRepository,findByFunctionIdSortedByXAsc,143
CompositeFunctionRepository,findByNameInWithSort,153
CompositeFunctionLinkRepository,findAllByOrderByIdSortedByIdAsc,127
CompositeFunctionLinkRepository,findAllByOrderByIdSortedByIdDesc,134
