repository,query,duration (ms)
UserRepository,findAllSortedByUsernameAsc,162
UserRepository,findAllSortedByEmailDesc,142
FunctionRepository,findByOwnerIdOrderByCreatedAtDesc,145
FunctionRepository,findByOwnerIdOrderByNameAsc,119
PointRepository,findByFunctionIdSortedByXAsc,131
CompositeFunctionRepository,findByOwnerIdWithLinksSortedByNameAsc,134
CompositeFunctionLinkRepository,findByCompositeFunctionIdSortedByOrderDesc,130
CompositeFunctionLinkRepository,findByFunctionIdSortedByOrderDesc,132
