repository,query,duration (ms)
UserRepository,create,1946
UserRepository,findById,144
UserRepository,findByUsername,31
UserRepository,findByEmailAndRole,34
UserRepository,update,916
FunctionRepository,create,1453
FunctionRepository,findById,74
FunctionRepository,findByOwnerId,63
FunctionRepository,findByName,70
FunctionRepository,findByType,64
FunctionRepository,update,717
PointRepository,create,1140
PointRepository,findById,43
PointRepository,findByFunctionId,59
PointRepository,findByFunctionOwnerId,43
PointRepository,update,442
CompositeFunctionRepository,create,3200
CompositeFunctionLinkRepository,create,3200
CompositeFunctionRepository,findById,26
CompositeFunctionRepository,findByOwnerId,72
CompositeFunctionRepository,findByNameIn,93
CompositeFunctionRepository,findByName,100
CompositeFunctionRepository,update,385
CompositeFunctionLinkRepository,findById,23
CompositeFunctionLinkRepository,findByCompositeFunctionId,77
CompositeFunctionLinkRepository,findByFunctionId,95
CompositeFunctionLinkRepository,update,471
CompositeFunctionLinkRepository,delete,568
CompositeFunctionRepository,delete,630
PointRepository,delete,477
FunctionRepository,delete,317
UserRepository,delete,263
